period,final_seniority,average_salary,Half_Product
2015_H1,junior,925.5238095238095,3640187930617.4346
2015_H1,middle,1047.4,3640187930617.4346
2015_H1,senior,2674.0,3640187930617.4346
2015_H2,junior,945.56,7743438741959.837
2015_H2,middle,1533.4615384615386,7743438741959.837
2015_H2,senior,2318.0,7743438741959.837
2016_H1,junior,1138.258064516129,1193760526758.2798
2016_H1,middle,1832.142857142857,1193760526758.2798
2016_H1,senior,3416.6666666666665,1193760526758.2798
2016_H2,junior,1023.2051282051282,1596202641316.8284
2016_H2,middle,1657.857142857143,1596202641316.8284
2016_H2,senior,2208.3333333333335,1596202641316.8284
2017_H1,junior,1104.5121951219512,1289180995899.3992
2017_H1,middle,1987.5,1289180995899.3992
2017_H1,senior,2106.0,1289180995899.3992
2017_H2,junior,805.3846153846154,1838325467326.9724
2017_H2,middle,2250.7391304347825,1838325467326.9724
2017_H2,senior,2887.2727272727275,1838325467326.9724
2018_H1,junior,1100.5882352941176,1224074482812.5188
2018_H1,middle,2820.1071428571427,1224074482812.5188
2018_H1,senior,2985.0,1224074482812.5188
2018_H2,junior,1083.4918032786886,1455519171797.5266
2018_H2,middle,2850.6060606060605,1455519171797.5266
2018_H2,senior,4377.272727272727,1455519171797.5266
2019_H1,junior,1250.7307692307693,1171751142923.4688
2019_H1,middle,3353.5135135135133,1171751142923.4688
2019_H1,senior,5237.5,1171751142923.4688
2019_H2,junior,1309.2413793103449,1237459414125.7747
2019_H2,middle,3327.9032258064517,1237459414125.7747
2019_H2,senior,4211.111111111111,1237459414125.7747
2020_H1,junior,1375.6451612903227,1062372138121.9045
2020_H1,middle,3076.3513513513512,1062372138121.9045
2020_H1,senior,3509.5833333333335,1062372138121.9045
2020_H2,junior,1186.064935064935,1171520500121.5715
2020_H2,middle,3243.828125,1171520500121.5715
2020_H2,senior,4525.64,1171520500121.5715
2021_H1,junior,2610.748,1276303919922.1743
2021_H1,middle,3762.7894736842104,1276303919922.1743
2021_H1,senior,2945.8333333333335,1276303919922.1743
2021_H2,junior,1756.0434782608695,1587531436895.2505
2021_H2,middle,3802.525,1587531436895.2505
2021_H2,senior,5349.508771929824,1587531436895.2505
2022_H1,junior,1642.857142857143,1663261207776.9849
2022_H1,middle,4276.315789473684,1663261207776.9849
2022_H1,senior,5270.833333333333,1663261207776.9849
2022_H2,junior,1778.4864864864865,3416773883403.9277
2022_H2,middle,2891.5421686746986,3416773883403.9277
2022_H2,senior,5623.81914893617,3416773883403.9277
2023_H1,junior,1936.8383838383838,1180789640847.1294
2023_H1,middle,2727.4324324324325,1180789640847.1294
2023_H1,senior,5738.876923076923,1180789640847.1294
2023_H2,junior,1872.7978723404256,1250532541870.56
2023_H2,middle,2780.848484848485,1250532541870.56
2023_H2,senior,5364.981481481482,1250532541870.56
2024_H1,junior,1710.5731707317073,1103738346027.7576
2024_H1,middle,2770.705882352941,1103738346027.7576
2024_H1,senior,5434.954198473282,1103738346027.7576
2024_H2,junior,1547.8125,1561801309612.186
2024_H2,middle,2702.875,1561801309612.186
2024_H2,senior,6956.290322580645,1561801309612.186
