Місяць,data science: (Україна)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,12
2014-11,14
2014-12,13
2015-01,0
2015-02,0
2015-03,0
2015-04,12
2015-05,13
2015-06,15
2015-07,13
2015-08,0
2015-09,0
2015-10,18
2015-11,12
2015-12,13
2016-01,16
2016-02,13
2016-03,19
2016-04,19
2016-05,24
2016-06,22
2016-07,18
2016-08,20
2016-09,21
2016-10,24
2016-11,24
2016-12,27
2017-01,29
2017-02,30
2017-03,38
2017-04,45
2017-05,35
2017-06,37
2017-07,47
2017-08,39
2017-09,42
2017-10,33
2017-11,29
2017-12,42
2018-01,41
2018-02,47
2018-03,38
2018-04,57
2018-05,48
2018-06,67
2018-07,64
2018-08,48
2018-09,65
2018-10,62
2018-11,71
2018-12,54
2019-01,53
2019-02,48
2019-03,53
2019-04,62
2019-05,64
2019-06,60
2019-07,67
2019-08,75
2019-09,77
2019-10,82
2019-11,62
2019-12,55
2020-01,71
2020-02,75
2020-03,67
2020-04,77
2020-05,77
2020-06,73
2020-07,95
2020-08,78
2020-09,85
2020-10,72
2020-11,66
2020-12,67
2021-01,64
2021-02,69
2021-03,62
2021-04,74
2021-05,84
2021-06,75
2021-07,64
2021-08,65
2021-09,65
2021-10,65
2021-11,76
2021-12,82
2022-01,100
2022-02,86
2022-03,66
2022-04,92
2022-05,83
2022-06,88
2022-07,82
2022-08,89
2022-09,70
2022-10,78
2022-11,75
2022-12,65
2023-01,84
2023-02,78
2023-03,77
2023-04,84
2023-05,85
2023-06,85
2023-07,72
2023-08,65
2023-09,76
2023-10,74
2023-11,68
2023-12,57
2024-01,65
2024-02,71
2024-03,55
2024-04,60
2024-05,64
2024-06,73
2024-07,71
2024-08,79
2024-09,76
2024-10,66
2024-11,63
2024-12,66
2025-01,71
2025-02,75
2025-03,58
2025-04,53
2025-05,53
